etapa,arquivo,origem,copia_relatorio,modificacao_utc,status_atualizacao
Etapa 02 — Análise exploratória,02_12_correlacao_retornos_renda_variavel.png,outputs/graficos/02_12_correlacao_retornos_renda_variavel.png,graficos_pipeline/02_12_correlacao_retornos_renda_variavel.png,2026-08-04 23:57:36.603809+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_13_ipca_12_meses.png,outputs/graficos/02_13_ipca_12_meses.png,graficos_pipeline/02_13_ipca_12_meses.png,2026-08-04 23:57:41.433500+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_14_ibc_br_dessazonalizado.png,outputs/graficos/02_14_ibc_br_dessazonalizado.png,graficos_pipeline/02_14_ibc_br_dessazonalizado.png,2026-08-04 23:57:41.672162+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_15_tendencias_inflacao_crescimento.png,outputs/graficos/02_15_tendencias_inflacao_crescimento.png,graficos_pipeline/02_15_tendencias_inflacao_crescimento.png,2026-08-04 23:57:42.009839+00:00,Mesma execução provável
Etapa 04 — Alocação,04_desempenho_acumulado_bruto.png,outputs/graficos/04_desempenho_acumulado_bruto.png,graficos_pipeline/04_desempenho_acumulado_bruto.png,2026-08-05 00:06:12.609282+00:00,Mesma execução provável
Etapa 04 — Alocação,04_diferenca_carteiras.png,outputs/graficos/04_diferenca_carteiras.png,graficos_pipeline/04_diferenca_carteiras.png,2026-08-05 00:06:13.090356+00:00,Mesma execução provável
Etapa 04 — Alocação,04_drawdown_carteiras.png,outputs/graficos/04_drawdown_carteiras.png,graficos_pipeline/04_drawdown_carteiras.png,2026-08-05 00:06:12.846852+00:00,Mesma execução provável
Etapa 05 — Backtest,05_contribuicao_media_por_regime.png,outputs/graficos/05_contribuicao_media_por_regime.png,graficos_pipeline/05_contribuicao_media_por_regime.png,2026-08-05 00:06:55.537318+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_desempenho_bruto_liquido.png,outputs/graficos/05_desempenho_bruto_liquido.png,graficos_pipeline/05_desempenho_bruto_liquido.png,2026-08-05 00:06:53.806908+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_drawdown_liquido.png,outputs/graficos/05_drawdown_liquido.png,graficos_pipeline/05_drawdown_liquido.png,2026-08-05 00:06:54.113154+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_impacto_acumulado_custos.png,outputs/graficos/05_impacto_acumulado_custos.png,graficos_pipeline/05_impacto_acumulado_custos.png,2026-08-05 00:06:54.455203+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_indice_final_por_custo.png,outputs/graficos/05_indice_final_por_custo.png,graficos_pipeline/05_indice_final_por_custo.png,2026-08-05 00:06:55.777477+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_retorno_liquido_medio_por_regime.png,outputs/graficos/05_retorno_liquido_medio_por_regime.png,graficos_pipeline/05_retorno_liquido_medio_por_regime.png,2026-08-05 00:06:55.109845+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_retorno_movel_12m.png,outputs/graficos/05_retorno_movel_12m.png,graficos_pipeline/05_retorno_movel_12m.png,2026-08-05 00:06:56.452894+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_retornos_liquidos_anuais.png,outputs/graficos/05_retornos_liquidos_anuais.png,graficos_pipeline/05_retornos_liquidos_anuais.png,2026-08-05 00:06:56.191447+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_turnover_mensal.png,outputs/graficos/05_turnover_mensal.png,graficos_pipeline/05_turnover_mensal.png,2026-08-05 00:06:54.755093+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_vantagem_liquida_por_custo.png,outputs/graficos/05_vantagem_liquida_por_custo.png,graficos_pipeline/05_vantagem_liquida_por_custo.png,2026-08-05 00:06:55.987801+00:00,Atual ou posterior às bases centrais
Etapa 05 — Backtest,05_volatilidade_movel_12m.png,outputs/graficos/05_volatilidade_movel_12m.png,graficos_pipeline/05_volatilidade_movel_12m.png,2026-08-05 00:06:56.737875+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_02_mudancas_regime_por_confirmacao.png,outputs/graficos/06_02_mudancas_regime_por_confirmacao.png,graficos_pipeline/06_02_mudancas_regime_por_confirmacao.png,2026-08-05 00:07:53.882444+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_02_series_regimes_suavizados.png,outputs/graficos/06_02_series_regimes_suavizados.png,graficos_pipeline/06_02_series_regimes_suavizados.png,2026-08-05 00:07:54.909217+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_03_desempenho_liquido_regimes_suavizados.png,outputs/graficos/06_03_desempenho_liquido_regimes_suavizados.png,graficos_pipeline/06_03_desempenho_liquido_regimes_suavizados.png,2026-08-05 00:07:56.844985+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_03_diferenca_liquida_vs_benchmark.png,outputs/graficos/06_03_diferenca_liquida_vs_benchmark.png,graficos_pipeline/06_03_diferenca_liquida_vs_benchmark.png,2026-08-05 00:07:58.798142+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_03_turnover_regimes_suavizados.png,outputs/graficos/06_03_turnover_regimes_suavizados.png,graficos_pipeline/06_03_turnover_regimes_suavizados.png,2026-08-05 00:07:57.995264+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_04_desempenho_fora_amostra.png,outputs/graficos/06_04_desempenho_fora_amostra.png,graficos_pipeline/06_04_desempenho_fora_amostra.png,2026-08-05 00:07:59.745801+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_04_diferenca_fora_amostra.png,outputs/graficos/06_04_diferenca_fora_amostra.png,graficos_pipeline/06_04_diferenca_fora_amostra.png,2026-08-05 00:08:00.506178+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_05_desempenho_teste_pesos_otimizados.png,outputs/graficos/06_05_desempenho_teste_pesos_otimizados.png,graficos_pipeline/06_05_desempenho_teste_pesos_otimizados.png,2026-08-05 00:08:03.871926+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_05_diferenca_teste_pesos_otimizados.png,outputs/graficos/06_05_diferenca_teste_pesos_otimizados.png,graficos_pipeline/06_05_diferenca_teste_pesos_otimizados.png,2026-08-05 00:08:04.331409+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_05_retorno_volatilidade_treino.png,outputs/graficos/06_05_retorno_volatilidade_treino.png,graficos_pipeline/06_05_retorno_volatilidade_treino.png,2026-08-05 00:08:03.328991+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_06_contribuicao_ativos_teste.png,outputs/graficos/06_06_contribuicao_ativos_teste.png,graficos_pipeline/06_06_contribuicao_ativos_teste.png,2026-08-05 00:08:06.279632+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_06_excesso_retorno_por_regime.png,outputs/graficos/06_06_excesso_retorno_por_regime.png,graficos_pipeline/06_06_excesso_retorno_por_regime.png,2026-08-05 00:08:05.586385+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_06_turnover_por_regime.png,outputs/graficos/06_06_turnover_por_regime.png,graficos_pipeline/06_06_turnover_por_regime.png,2026-08-05 00:08:06.773776+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_07_comparacao_pesos_por_regime.png,outputs/graficos/06_07_comparacao_pesos_por_regime.png,graficos_pipeline/06_07_comparacao_pesos_por_regime.png,2026-08-05 00:08:12.494326+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_07_desempenho_periodo_avaliacao.png,outputs/graficos/06_07_desempenho_periodo_avaliacao.png,graficos_pipeline/06_07_desempenho_periodo_avaliacao.png,2026-08-05 00:08:10.831053+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_07_diferenca_vs_benchmark_avaliacao.png,outputs/graficos/06_07_diferenca_vs_benchmark_avaliacao.png,graficos_pipeline/06_07_diferenca_vs_benchmark_avaliacao.png,2026-08-05 00:08:11.262910+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_08_cdi_acumulado.png,outputs/graficos/06_08_cdi_acumulado.png,graficos_pipeline/06_08_cdi_acumulado.png,2026-08-05 00:08:12.786564+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_09_desempenho_avaliacao_cdi.png,outputs/graficos/06_09_desempenho_avaliacao_cdi.png,graficos_pipeline/06_09_desempenho_avaliacao_cdi.png,2026-08-05 00:08:23.083692+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_09_diferenca_vs_benchmark_5_ativos.png,outputs/graficos/06_09_diferenca_vs_benchmark_5_ativos.png,graficos_pipeline/06_09_diferenca_vs_benchmark_5_ativos.png,2026-08-05 00:08:23.615837+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_09_excesso_rolling_12m_treino.png,outputs/graficos/06_09_excesso_rolling_12m_treino.png,graficos_pipeline/06_09_excesso_rolling_12m_treino.png,2026-08-05 00:08:24.733412+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_09_pesos_cdi_por_regime.png,outputs/graficos/06_09_pesos_cdi_por_regime.png,graficos_pipeline/06_09_pesos_cdi_por_regime.png,2026-08-05 00:08:24.118814+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_10_desempenho_comparadores_avaliacao.png,outputs/graficos/06_10_desempenho_comparadores_avaliacao.png,graficos_pipeline/06_10_desempenho_comparadores_avaliacao.png,2026-08-05 00:08:28.507977+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_10_diferenca_modelo_vs_referencias.png,outputs/graficos/06_10_diferenca_modelo_vs_referencias.png,graficos_pipeline/06_10_diferenca_modelo_vs_referencias.png,2026-08-05 00:08:29.372469+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_10_distribuicao_sensibilidade_vs_benchmark.png,outputs/graficos/06_10_distribuicao_sensibilidade_vs_benchmark.png,graficos_pipeline/06_10_distribuicao_sensibilidade_vs_benchmark.png,2026-08-05 00:08:29.793738+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_10_risco_retorno_avaliacao.png,outputs/graficos/06_10_risco_retorno_avaliacao.png,graficos_pipeline/06_10_risco_retorno_avaliacao.png,2026-08-05 00:08:28.892311+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_10_rolling_12m_avaliacao.png,outputs/graficos/06_10_rolling_12m_avaliacao.png,graficos_pipeline/06_10_rolling_12m_avaliacao.png,2026-08-05 00:08:30.349034+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_11_confirmacao_por_recalibracao.png,outputs/graficos/06_11_confirmacao_por_recalibracao.png,graficos_pipeline/06_11_confirmacao_por_recalibracao.png,2026-08-05 00:09:01.508631+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_11_desempenho_walk_forward.png,outputs/graficos/06_11_desempenho_walk_forward.png,graficos_pipeline/06_11_desempenho_walk_forward.png,2026-08-05 00:09:00.517763+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_11_diferenca_walk_forward.png,outputs/graficos/06_11_diferenca_walk_forward.png,graficos_pipeline/06_11_diferenca_walk_forward.png,2026-08-05 00:09:01.154644+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_11_pesos_cdi_por_recalibracao.png,outputs/graficos/06_11_pesos_cdi_por_recalibracao.png,graficos_pipeline/06_11_pesos_cdi_por_recalibracao.png,2026-08-05 00:09:02.068937+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_11_rolling_12m_walk_forward.png,outputs/graficos/06_11_rolling_12m_walk_forward.png,graficos_pipeline/06_11_rolling_12m_walk_forward.png,2026-08-05 00:09:02.615050+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_12_desempenho_modelos_finais.png,outputs/graficos/06_12_desempenho_modelos_finais.png,graficos_pipeline/06_12_desempenho_modelos_finais.png,2026-08-05 00:09:03.578705+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_12_drawdown_modelos_finais.png,outputs/graficos/06_12_drawdown_modelos_finais.png,graficos_pipeline/06_12_drawdown_modelos_finais.png,2026-08-05 00:09:04.217175+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_12_pesos_oficiais_por_regime.png,outputs/graficos/06_12_pesos_oficiais_por_regime.png,graficos_pipeline/06_12_pesos_oficiais_por_regime.png,2026-08-05 00:09:04.728958+00:00,Atual ou posterior às bases centrais
Etapa 06 — Otimização e walk-forward,06_12_risco_retorno_modelos_finais.png,outputs/graficos/06_12_risco_retorno_modelos_finais.png,graficos_pipeline/06_12_risco_retorno_modelos_finais.png,2026-08-05 00:09:05.113267+00:00,Atual ou posterior às bases centrais
Etapa 07 — Análise final,07_02_desempenho_acumulado.png,outputs/graficos/07_02_desempenho_acumulado.png,graficos_pipeline/07_02_desempenho_acumulado.png,2026-08-05 00:10:10.890647+00:00,Atual ou posterior às bases centrais
Etapa 07 — Análise final,07_02_drawdown_comparativo.png,outputs/graficos/07_02_drawdown_comparativo.png,graficos_pipeline/07_02_drawdown_comparativo.png,2026-08-05 00:10:13.001571+00:00,Atual ou posterior às bases centrais
Etapa 07 — Análise final,07_02_retornos_anuais.png,outputs/graficos/07_02_retornos_anuais.png,graficos_pipeline/07_02_retornos_anuais.png,2026-08-05 00:10:11.348080+00:00,Atual ou posterior às bases centrais
Etapa 07 — Análise final,07_02_risco_retorno.png,outputs/graficos/07_02_risco_retorno.png,graficos_pipeline/07_02_risco_retorno.png,2026-08-05 00:10:12.133954+00:00,Atual ou posterior às bases centrais
